Ticker,LastDate,MACD,Signal,Hist
5521.TW,2025-10-09,-0.3,-0.26,-0.04
5525.TW,2025-10-09,-0.35,-0.28,-0.07
5531.TW,2025-10-09,-0.08,-0.08,-0.0
5534.TW,2025-10-09,-0.7,-0.5,-0.2
5546.TW,2025-10-09,-0.71,-0.7,-0.01
5608.TW,2025-10-09,-0.15,-0.1,-0.05
6142.TW,2025-10-09,-0.04,-0.02,-0.02
6164.TW,2025-10-09,-0.04,-0.04,-0.0
6166.TW,2025-10-09,-0.85,-0.78,-0.07
6184.TW,2025-10-09,-0.44,-0.36,-0.08
6225.TW,2025-10-09,-0.01,0.23,-0.24
6226.TW,2025-10-09,-0.06,-0.04,-0.02
6243.TW,2025-10-09,-0.35,-0.3,-0.05
6271.TW,2025-10-09,0.19,1.24,-1.04
6283.TW,2025-10-09,-0.45,-0.38,-0.07
6431.TW,2025-10-09,-0.13,-0.09,-0.04
6477.TW,2025-10-09,-0.41,0.12,-0.54
6573.TW,2025-10-09,0.01,0.02,-0.01
6666.TW,2025-10-09,-0.44,-0.28,-0.16
6689.TW,2025-10-09,-0.9,-0.78,-0.12
6743.TW,2025-10-09,-0.47,-0.23,-0.25
6885.TW,2025-10-09,-0.4,-0.37,-0.02
6916.TW,2025-10-09,-0.37,-0.35,-0.02
6952.TW,2025-10-09,-0.57,-0.43,-0.14
6957.TW,2025-10-09,1.08,2.17,-1.08
8201.TW,2025-10-09,-0.08,0.13,-0.21
8442.TW,2025-10-09,-0.81,-0.64,-0.16
8488.TW,2025-10-09,-0.3,-0.22,-0.07
9902.TW,2025-10-09,-0.39,-0.28,-0.11
9905.TW,2025-10-09,-0.14,-0.13,-0.01
9917.TW,2025-10-09,-0.72,-0.54,-0.18
9928.TW,2025-10-09,-0.09,-0.06,-0.03
9945.TW,2025-10-09,-0.31,-0.25,-0.06
9946.TW,2025-10-09,-0.2,-0.16,-0.04
2882A.TW,2025-10-09,0.0,0.01,-0.0
7631.TW,2025-10-09,-0.81,0.52,-1.32
1294.TWO,2025-10-09,-0.24,0.34,-0.58
1336.TWO,2025-10-09,-0.04,-0.01,-0.03
1580.TWO,2025-10-09,-0.5,-0.16,-0.34
2063.TWO,2025-10-09,-0.32,-0.31,-0.0
2230.TWO,2025-10-09,-0.45,-0.15,-0.3
2641.TWO,2025-10-09,-0.01,0.1,-0.11
2729.TWO,2025-10-09,-0.84,-0.51,-0.33
2734.TWO,2025-10-09,-0.12,-0.09,-0.03
2752.TWO,2025-10-09,-0.29,-0.27,-0.02
3066.TWO,2025-10-09,-0.35,-0.32,-0.02
3083.TWO,2025-10-09,-0.14,-0.12,-0.02
3115.TWO,2025-10-09,-0.11,-0.09,-0.02
3122.TWO,2025-10-09,-0.46,-0.25,-0.21
3162.TWO,2025-10-09,-0.78,-0.51,-0.28
3178.TWO,2025-10-09,-0.22,-0.05,-0.17
3230.TWO,2025-10-09,-0.98,0.09,-1.06
3234.TWO,2025-10-09,-0.7,-0.6,-0.1
3268.TWO,2025-10-09,-0.38,-0.31,-0.06
3272.TWO,2025-10-09,-0.21,-0.17,-0.03
3306.TWO,2025-10-09,-0.48,0.01,-0.49
3322.TWO,2025-10-09,-0.07,-0.05,-0.01
3354.TWO,2025-10-09,-0.35,-0.3,-0.05
3360.TWO,2025-10-09,-0.05,-0.04,-0.01
3441.TWO,2025-10-09,-0.3,-0.19,-0.11
3489.TWO,2025-10-09,-0.33,-0.13,-0.2
3491.TWO,2025-10-09,15.88,17.15,-1.27
3498.TWO,2025-10-09,-0.01,-0.0,-0.01
3540.TWO,2025-10-09,-0.1,0.19,-0.3
3630.TWO,2025-10-09,-0.29,0.03,-0.33
3710.TWO,2025-10-09,-0.08,-0.05,-0.02
4114.TWO,2025-10-09,-0.34,-0.34,-0.01
4128.TWO,2025-10-09,-0.53,-0.46,-0.06
4168.TWO,2025-10-09,-0.09,0.09,-0.18
4175.TWO,2025-10-09,-0.59,-0.48,-0.11
4183.TWO,2025-10-09,-0.14,-0.1,-0.04
4402.TWO,2025-10-09,-0.41,-0.24,-0.17
4416.TWO,2025-10-09,-0.49,-0.46,-0.03
4442.TWO,2025-10-09,-0.85,-0.02,-0.83
4502.TWO,2025-10-09,-0.34,-0.29,-0.05
4535.TWO,2025-10-09,-0.09,-0.09,-0.0
4541.TWO,2025-10-09,-0.98,-0.67,-0.31
4754.TWO,2025-10-09,-0.09,-0.06,-0.02
5009.TWO,2025-10-09,-0.32,-0.31,-0.01
5205.TWO,2025-10-08,-0.26,-0.25,-0.01
5227.TWO,2025-10-09,-0.6,-0.37,-0.22
5245.TWO,2025-10-09,-0.76,-0.75,-0.02
5263.TWO,2025-10-09,-0.42,-0.39,-0.02
5272.TWO,2025-10-09,-0.07,-0.04,-0.03
5302.TWO,2025-10-09,-0.01,-0.01,-0.01
5344.TWO,2025-10-09,-0.09,-0.09,-0.0
5512.TWO,2025-10-09,-0.11,-0.08,-0.03
5514.TWO,2025-10-09,-0.08,-0.07,-0.01
5523.TWO,2025-10-09,-0.01,-0.0,-0.01
5701.TWO,2025-10-09,-0.1,-0.08,-0.02
5903.TWO,2025-10-09,-0.86,-0.83,-0.03
6023.TWO,2025-10-09,-0.04,0.01,-0.06
6113.TWO,2025-10-09,-0.47,-0.44,-0.02
6118.TWO,2025-10-09,-0.34,-0.14,-0.19
6129.TWO,2025-10-09,-0.18,-0.03,-0.15
6151.TWO,2025-10-09,-0.55,-0.44,-0.11
6154.TWO,2025-10-09,-0.07,-0.06,-0.02
6167.TWO,2025-10-08,-0.13,-0.13,-0.0
6179.TWO,2025-10-09,-0.28,0.24,-0.52
6198.TWO,2025-10-09,-0.13,-0.07,-0.06
6229.TWO,2025-10-09,-0.1,0.05,-0.15
6245.TWO,2025-10-09,-0.64,-0.15,-0.49
6246.TWO,2025-10-09,-0.37,-0.31,-0.06
6411.TWO,2025-10-09,-0.19,0.26,-0.45
6419.TWO,2025-10-09,-0.68,-0.34,-0.34
6516.TWO,2025-10-09,-0.59,-0.57,-0.03
6527.TWO,2025-10-09,-0.21,-0.19,-0.02
6569.TWO,2025-10-09,-0.61,-0.04,-0.57
6570.TWO,2025-10-09,-0.04,0.27,-0.31
6578.TWO,2025-10-09,-0.79,-0.56,-0.23
6664.TWO,2025-10-09,-0.73,1.36,-2.09
6679.TWO,2025-10-09,-0.27,0.59,-0.86
6733.TWO,2025-10-09,0.02,0.11,-0.08
6823.TWO,2025-10-09,-0.59,0.25,-0.85
6913.TWO,2025-10-09,0.15,1.53,-1.38
6967.TWO,2025-10-09,-0.38,-0.02,-0.36
6996.TWO,2025-10-09,-0.55,0.23,-0.78
7402.TWO,2025-10-09,2.64,5.25,-2.61
7712.TWO,2025-10-09,-0.67,0.39,-1.06
8068.TWO,2025-10-09,-0.2,-0.15,-0.05
8080.TWO,2025-10-09,-0.07,-0.06,-0.01
8091.TWO,2025-10-09,-0.44,0.29,-0.73
8097.TWO,2025-10-09,-0.87,-0.69,-0.18
8107.TWO,2025-10-09,-0.05,-0.0,-0.05
8240.TWO,2025-10-09,-0.87,-0.6,-0.27
8255.TWO,2025-10-09,-0.7,0.56,-1.25
8437.TWO,2025-10-09,-0.13,-0.07,-0.06
8906.TWO,2025-10-09,-0.49,-0.31,-0.19
8908.TWO,2025-10-09,-0.03,-0.01,-0.02
