Ticker,Name,Industry
2331.TW,精英,電腦及週邊設備業
2332.TW,友訊,通信網路業
2337.TW,旺宏,半導體業
2338.TW,光罩,半導體業
2340.TW,台亞,半導體業
2342.TW,茂矽,半導體業
2344.TW,華邦電,半導體業
2345.TW,智邦,通信網路業
2347.TW,聯強,電子通路業
2348.TW,海悅,其他業
2349.TW,錸德,光電業
2351.TW,順德,半導體業
2352.TW,佳世達,電腦及週邊設備業
2353.TW,宏碁,電腦及週邊設備業
2354.TW,鴻準,其他電子業
2355.TW,敬鵬,電子零組件業
2356.TW,英業達,電腦及週邊設備業
2357.TW,華碩,電腦及週邊設備業
2359.TW,所羅門,其他電子業
2360.TW,致茂,其他電子業
2362.TW,藍天,電腦及週邊設備業
2363.TW,矽統,半導體業
2364.TW,倫飛,電腦及週邊設備業
2365.TW,昆盈,電腦及週邊設備業
2367.TW,燿華,電子零組件業
2368.TW,金像電,電子零組件業
2369.TW,菱生,半導體業
2371.TW,大同,電機機械
2373.TW,震旦行,其他電子業
2374.TW,佳能,光電業
2375.TW,凱美,電子零組件業
2376.TW,技嘉,電腦及週邊設備業
2377.TW,微星,電腦及週邊設備業
2379.TW,瑞昱,半導體業
2380.TW,虹光,電腦及週邊設備業
2382.TW,廣達,電腦及週邊設備業
2383.TW,台光電,電子零組件業
2385.TW,群光,電子零組件業
2387.TW,精元,電腦及週邊設備業
2388.TW,威盛,半導體業
2390.TW,云辰,其他電子業
2392.TW,正崴,電子零組件業
2393.TW,億光,光電業
2395.TW,研華,電腦及週邊設備業
2397.TW,友通,電腦及週邊設備業
2399.TW,映泰,電腦及週邊設備業
2401.TW,凌陽,半導體業
2402.TW,毅嘉,電子零組件業
2404.TW,漢唐,其他電子業
2405.TW,輔信,電腦及週邊設備業
2406.TW,國碩,光電業
2408.TW,南亞科,半導體業
2409.TW,友達,光電業
2412.TW,中華電,通信網路業
2413.TW,環科,電子零組件業
2414.TW,精技,電子通路業
2415.TW,錩新,電子零組件業
2417.TW,圓剛,電腦及週邊設備業
2419.TW,仲琦,通信網路業
2420.TW,新巨,電子零組件業
2421.TW,建準,電子零組件業
2423.TW,固緯,其他電子業
2424.TW,隴華,通信網路業
2425.TW,承啟,電腦及週邊設備業
2426.TW,鼎元,光電業
2427.TW,三商電,資訊服務業
2428.TW,興勤,電子零組件業
2429.TW,銘旺科,光電業
2430.TW,燦坤,電子通路業
2431.TW,聯昌,電子零組件業
2433.TW,互盛電,其他電子業
2434.TW,統懋,半導體業
2436.TW,偉詮電,半導體業
2438.TW,翔耀,光電業
2439.TW,美律,通信網路業
2440.TW,太空梭,電子零組件業
2441.TW,超豐,半導體業
2442.TW,新美齊,建材營造業
2444.TW,兆勁,通信網路業
2449.TW,京元電子,半導體業
2450.TW,神腦,通信網路業
2451.TW,創見,半導體業
2453.TW,凌群,資訊服務業
2454.TW,聯發科,半導體業
2455.TW,全新,通信網路業
2457.TW,飛宏,電子零組件業
2458.TW,義隆,半導體業
2459.TW,敦吉,其他電子業
2460.TW,建通,電子零組件業
2461.TW,光群雷,其他電子業
2462.TW,良得電,電子零組件業
2464.TW,盟立,其他電子業
2465.TW,麗臺,電腦及週邊設備業
2466.TW,冠西電,光電業
2467.TW,志聖,電子零組件業
2468.TW,華經,資訊服務業
2471.TW,資通,資訊服務業
2472.TW,立隆電,電子零組件業
2474.TW,可成,其他電子業
2476.TW,鉅祥,電子零組件業
2477.TW,美隆電,其他電子業
2478.TW,大毅,電子零組件業
2480.TW,敦陽科,資訊服務業
2481.TW,強茂,半導體業
2482.TW,連宇,其他電子業
2483.TW,百容,電子零組件業
2484.TW,希華,電子零組件業
2485.TW,兆赫,通信網路業
2486.TW,一詮,光電業
2488.TW,漢平,其他電子業
2489.TW,瑞軒,光電業
2491.TW,吉祥全,光電業
2492.TW,華新科,電子零組件業
2493.TW,揚博,電子零組件業
2495.TW,普安,電腦及週邊設備業
2496.TW,卓越,其他業
2497.TW,怡利電,汽車工業
2498.TW,宏達電,通信網路業
2501.TW,國建,建材營造業
2504.TW,國產,建材營造業
2505.TW,國揚,建材營造業
2506.TW,太設,建材營造業
2509.TW,全坤建,建材營造業
2511.TW,太子,建材營造業
2514.TW,龍邦,其他業
2515.TW,中工,建材營造業
2516.TW,新建,建材營造業
2520.TW,冠德,建材營造業
2524.TW,京城,建材營造業
2527.TW,宏璟,建材營造業
2528.TW,皇普,建材營造業
2530.TW,華建,建材營造業
2534.TW,宏盛,建材營造業
2535.TW,達欣工,建材營造業
2536.TW,宏普,建材營造業
2537.TW,聯上發,建材營造業
2538.TW,基泰,建材營造業
2539.TW,櫻花建,建材營造業
2540.TW,愛山林,建材營造業
2542.TW,興富發,建材營造業
2543.TW,皇昌,建材營造業
2545.TW,皇翔,建材營造業
2546.TW,根基,建材營造業
2547.TW,日勝生,建材營造業
2548.TW,華固,建材營造業
2597.TW,潤弘,建材營造業
2601.TW,益航,貿易百貨業
2603.TW,長榮,航運業
2605.TW,新興,航運業
2606.TW,裕民,航運業
2607.TW,榮運,航運業
2608.TW,嘉里大榮,航運業
2609.TW,陽明,航運業
2610.TW,華航,航運業
2611.TW,志信,航運業
2612.TW,中航,航運業
2613.TW,中櫃,航運業
2614.TW,東森,其他業
2615.TW,萬海,航運業
2616.TW,山隆,油電燃氣業
2617.TW,台航,航運業
2618.TW,長榮航,航運業
2630.TW,亞航,航運業
2633.TW,台灣高鐵,航運業
2634.TW,漢翔,航運業
2636.TW,台驊控股,航運業
2637.TW,慧洋-KY,航運業
2642.TW,宅配通,航運業
2645.TW,長榮航太,航運業
2646.TW,星宇航空,航運業
2701.TW,萬企,觀光餐旅
2702.TW,華園,觀光餐旅
2704.TW,國賓,觀光餐旅
2705.TW,六福,觀光餐旅
2706.TW,第一店,觀光餐旅
2707.TW,晶華,觀光餐旅
2712.TW,遠雄來,觀光餐旅
2722.TW,夏都,觀光餐旅
2723.TW,美食-KY,觀光餐旅
2727.TW,王品,觀光餐旅
2731.TW,雄獅,觀光餐旅
2739.TW,寒舍,觀光餐旅
2748.TW,雲品,觀光餐旅
2753.TW,八方雲集,觀光餐旅
2762.TW,世界健身-KY,運動休閒
2801.TW,彰銀,金融保險業
2809.TW,京城銀,金融保險業
2812.TW,台中銀,金融保險業
2816.TW,旺旺保,金融保險業
2820.TW,華票,金融保險業
2832.TW,台產,金融保險業
2834.TW,臺企銀,金融保險業
2836.TW,高雄銀,金融保險業
2838.TW,聯邦銀,金融保險業
2845.TW,遠東銀,金融保險業
2849.TW,安泰銀,金融保險業
2850.TW,新產,金融保險業
2851.TW,中再保,金融保險業
2852.TW,第一保,金融保險業
2855.TW,統一證,金融保險業
2867.TW,三商壽,金融保險業
2880.TW,華南金,金融保險業
2881.TW,富邦金,金融保險業
2882.TW,國泰金,金融保險業
2883.TW,凱基金,金融保險業
2884.TW,玉山金,金融保險業
2885.TW,元大金,金融保險業
2886.TW,兆豐金,金融保險業
2887.TW,台新新光金,金融保險業
2889.TW,國票金,金融保險業
2890.TW,永豐金,金融保險業
2891.TW,中信金,金融保險業
2892.TW,第一金,金融保險業
2897.TW,王道銀行,金融保險業
2901.TW,欣欣,貿易百貨業
2903.TW,遠百,貿易百貨業
2904.TW,匯僑,其他業
2905.TW,三商,貿易百貨業
2906.TW,高林,貿易百貨業
2908.TW,特力,貿易百貨業
2910.TW,統領,貿易百貨業
2911.TW,麗嬰房,貿易百貨業
2912.TW,統一超,貿易百貨業
2913.TW,農林,貿易百貨業
2915.TW,潤泰全,貿易百貨業
2923.TW,鼎固-KY,建材營造業
2929.TW,淘帝-KY,貿易百貨業
2939.TW,永邑-KY,貿易百貨業
2945.TW,三商家購,貿易百貨業
3002.TW,歐格,電腦及週邊設備業
3003.TW,健和興,電子零組件業
3004.TW,豐達科,鋼鐵工業
3005.TW,神基,電腦及週邊設備業
3006.TW,晶豪科,半導體業
3008.TW,大立光,光電業
3010.TW,華立,電子通路業
3011.TW,今皓,電子零組件業
3013.TW,晟銘電,電腦及週邊設備業
3014.TW,聯陽,半導體業
3015.TW,全漢,電子零組件業
3016.TW,嘉晶,半導體業
3017.TW,奇鋐,電腦及週邊設備業
3018.TW,隆銘綠能,其他電子業
3019.TW,亞光,光電業
3021.TW,鴻名,電子零組件業
3022.TW,威強電,電腦及週邊設備業
3023.TW,信邦,電子零組件業
3024.TW,憶聲,光電業
3025.TW,星通,通信網路業
3026.TW,禾伸堂,電子零組件業
3027.TW,盛達,通信網路業
3028.TW,增你強,電子通路業
3029.TW,零壹,資訊服務業
3030.TW,德律,其他電子業
3031.TW,佰鴻,光電業
3032.TW,偉訓,電子零組件業
3033.TW,威健,電子通路業
3034.TW,聯詠,半導體業
3035.TW,智原,半導體業
3036.TW,文曄,電子通路業
3037.TW,欣興,電子零組件業
3038.TW,全台,光電業
3040.TW,遠見,其他業
3041.TW,揚智,半導體業
3042.TW,晶技,電子零組件業
3043.TW,科風,其他電子業
3044.TW,健鼎,電子零組件業
3045.TW,台灣大,通信網路業
3046.TW,建碁,電腦及週邊設備業
3047.TW,訊舟,通信網路業
3048.TW,益登,電子通路業
3049.TW,精金,光電業
3050.TW,鈺德,光電業
3051.TW,力特,光電業
3052.TW,夆典,建材營造業
3054.TW,立萬利,食品工業
3055.TW,蔚華科,電子通路業
3056.TW,富華新,建材營造業
3057.TW,喬鼎,電腦及週邊設備業
3058.TW,立德,電子零組件業
3059.TW,華晶科,光電業
3060.TW,銘異,電腦及週邊設備業
3062.TW,建漢,通信網路業
3090.TW,日電貿,電子零組件業
3092.TW,鴻碩,電子零組件業
3094.TW,聯傑,半導體業
3130.TW,一零四,數位雲端
3135.TW,凌航,半導體業
3138.TW,耀登,通信網路業
3149.TW,正達,光電業
3164.TW,景岳,生技醫療業
3167.TW,大量,電機機械
3168.TW,眾福科,光電業
3189.TW,景碩,半導體業
3209.TW,全科,電子通路業
3229.TW,晟鈦,電子零組件業
3231.TW,緯創,電腦及週邊設備業
3257.TW,虹冠電,半導體業
3266.TW,昇陽,建材營造業
3296.TW,勝德,電子零組件業
3305.TW,昇貿,其他電子業
3308.TW,聯德,電子零組件業
3311.TW,閎暉,通信網路業
3312.TW,弘憶股,電子通路業
3321.TW,同泰,電子零組件業
3338.TW,泰碩,電子零組件業
3346.TW,麗清,汽車工業
3356.TW,奇偶,光電業
3376.TW,新日興,電子零組件業
3380.TW,明泰,通信網路業
3406.TW,玉晶光,光電業
3413.TW,京鼎,半導體業
3416.TW,融程電,電腦及週邊設備業
3419.TW,譁裕,通信網路業
3432.TW,台端,電子零組件業
3437.TW,榮創,光電業
3443.TW,創意,半導體業
3447.TW,展達,通信網路業
3450.TW,聯鈞,半導體業
3454.TW,晶睿,光電業
3481.TW,群創,光電業
3494.TW,誠研,電腦及週邊設備業
3501.TW,維熹,電子零組件業
3504.TW,揚明光,光電業
3515.TW,華擎,電腦及週邊設備業
3518.TW,柏騰,其他電子業
3528.TW,安馳,電子通路業
3530.TW,晶相光,半導體業
3532.TW,台勝科,半導體業
3533.TW,嘉澤,電子零組件業
3535.TW,晶彩科,光電業
3543.TW,州巧,光電業
3545.TW,敦泰,半導體業
3550.TW,聯穎,電子零組件業
3557.TW,嘉威,居家生活
3563.TW,牧德,光電業
3576.TW,聯合再生,光電業
3583.TW,辛耘,半導體業
3588.TW,通嘉,半導體業
3591.TW,艾笛森,光電業
3592.TW,瑞鼎,半導體業
3593.TW,力銘,電子零組件業
3596.TW,智易,通信網路業
3605.TW,宏致,電子零組件業
3607.TW,谷崧,電子零組件業
3617.TW,碩天,其他電子業
3622.TW,洋華,光電業
3645.TW,達邁,電子零組件業
3652.TW,精聯,電腦及週邊設備業
3653.TW,健策,電子零組件業
3661.TW,世芯-KY,半導體業
3665.TW,貿聯-KY,其他電子業
3669.TW,圓展,通信網路業
3673.TW,TPK-KY,光電業
3679.TW,新至陞,電子零組件業
3686.TW,達能,半導體業
3694.TW,海華,通信網路業
3701.TW,大眾控,電腦及週邊設備業
3702.TW,大聯大,電子通路業
3703.TW,欣陸,建材營造業
3704.TW,合勤控,通信網路業
3705.TW,永信,生技醫療業
3706.TW,神達,電腦及週邊設備業
3708.TW,上緯投控,綠能環保
3711.TW,日月光投控,半導體業
3712.TW,永崴投控,電腦及週邊設備業
3714.TW,富采,光電業
3715.TW,定穎投控,電子零組件業
3716.TW,中化控股,生技醫療業
3717.TW,聯嘉投控,汽車工業
4104.TW,佳醫,生技醫療業
4106.TW,雃博,生技醫療業
4108.TW,懷特,生技醫療業
4119.TW,旭富,生技醫療業
4133.TW,亞諾法,生技醫療業
4137.TW,麗豐-KY,生技醫療業
4142.TW,國光生,生技醫療業
4148.TW,全宇生技-KY,生技醫療業
4155.TW,訊映,生技醫療業
4164.TW,承業醫,生技醫療業
4190.TW,佐登-KY,生技醫療業
4306.TW,炎洲,塑膠工業
4414.TW,如興,紡織纖維
4426.TW,利勤,紡織纖維
4438.TW,廣越,紡織纖維
4439.TW,冠星-KY,紡織纖維
4440.TW,宜新實業,紡織纖維
4441.TW,振大環球,紡織纖維
4526.TW,東台,電機機械
4532.TW,瑞智,電機機械
4536.TW,拓凱,運動休閒
4540.TW,全球傳動,電機機械
4545.TW,銘鈺,電子零組件業
4551.TW,智伸科,汽車工業
4552.TW,力達-KY,電機機械
4555.TW,氣立,電機機械
4557.TW,永新-KY,汽車工業
4560.TW,強信-KY,電機機械
4562.TW,穎漢,電機機械
4564.TW,元翎,電機機械
4566.TW,時碩工業,電機機械
4569.TW,六方科-KY,汽車工業
4571.TW,鈞興-KY,電機機械
4572.TW,駐龍,電機機械
4576.TW,大銀微系統,電機機械
4581.TW,光隆精密-KY,汽車工業
4583.TW,台灣精銳,電機機械
4585.TW,達明,其他電子業
4588.TW,玖鼎電力,其他電子業
4720.TW,德淵,化學工業
4722.TW,國精化,化學工業
4736.TW,泰博,生技醫療業
4737.TW,華廣,生技醫療業
4739.TW,康普,化學工業
4746.TW,台耀,生技醫療業
4755.TW,三福化,化學工業
4763.TW,材料*-KY,化學工業
4764.TW,雙鍵,化學工業
4766.TW,南寶,化學工業
4770.TW,上品,化學工業
4771.TW,望隼,生技醫療業
4807.TW,日成-KY,貿易百貨業
4904.TW,遠傳,通信網路業
4906.TW,正文,通信網路業
4912.TW,聯德控股-KY,電子零組件業
4915.TW,致伸,電子零組件業
4916.TW,事欣科,電腦及週邊設備業
4919.TW,新唐,半導體業
4927.TW,泰鼎-KY,電子零組件業
4930.TW,燦星網,電器電纜
4934.TW,太極,光電業
4935.TW,茂林-KY,光電業
4938.TW,和碩,電腦及週邊設備業
4942.TW,嘉彰,光電業
4943.TW,康控-KY,電子零組件業
4949.TW,有成精密,光電業
4952.TW,凌通,半導體業
4956.TW,光鋐,光電業
4958.TW,臻鼎-KY,電子零組件業
4960.TW,誠美材,光電業
4961.TW,天鈺,半導體業
4967.TW,十銓,半導體業
4968.TW,立積,半導體業
4976.TW,佳凌,光電業
4977.TW,眾達-KY,通信網路業
4989.TW,榮科,電子零組件業
4994.TW,傳奇,資訊服務業
4999.TW,鑫禾,電子零組件業
5007.TW,三星,鋼鐵工業
5203.TW,訊連,資訊服務業
5215.TW,科嘉-KY,電腦及週邊設備業
